time,BatC1,BatC2
1565890252.1330001,455.87,458.2
1565890255.733,13.71,2.35
1565890261.733,889.53,876.12
1565890278.533,455.93,458.23
1565890283.333,13.57,2.23
1565890289.333,889.41,875.84
1565890304.933,455.96,458.19
1565890309.733,13.67,2.38
1565890315.733,889.52,875.93
1565890332.533,455.94,458.21
1565890336.1330001,13.64,2.31
1565890342.1330001,889.48,876.08
1565890358.933,455.97,458.21
1565890363.733,13.67,2.13
1565890369.733,889.51,875.87
1565890385.333,455.95,458.25
1565890390.1330001,13.64,2.23
1565890396.1330001,889.56,875.86
1565890411.733,455.91,458.17
1565890416.533,13.68,2.36
1565890422.533,889.58,876.06
1565890439.333,455.93,458.21
1565890444.1330001,13.72,2.21
1565890450.1330001,889.65,875.94
1565890465.733,455.97,458.2
1565890470.533,13.67,2.49
1565890476.533,889.5,876.1
1565890492.1330001,455.87,458.19
1565890496.933,13.66,2.36
1565890502.933,889.46,876.0
1565890519.733,455.98,458.23
1565890524.533,13.64,2.33
1565890530.533,889.37,875.99
1565890546.1330001,455.84,458.16
1565890550.933,13.62,2.28
1565890556.933,889.36,876.01
1565890572.533,455.87,458.2
1565890577.333,13.59,2.36
1565890583.333,889.42,876.06
1565890600.1330001,455.95,458.23
1565890603.733,13.66,2.27
1565890609.733,889.4,875.87
1565890626.533,455.97,458.22
1565890631.333,13.6,2.48
1565890637.333,889.38,876.26
1565890652.933,455.98,458.24
1565890657.733,13.68,2.68
1565890663.733,889.46,876.56
1565890680.533,455.95,458.21
1565890684.1330001,13.65,2.4
1565890690.1330001,889.44,876.38
1565890706.933,455.95,458.23
1565890711.733,13.57,2.43
1565890717.733,889.19,876.25
1565890733.333,455.89,458.15
1565890738.1330001,13.68,2.46
1565890744.1330001,889.36,876.21
1565890760.933,455.95,458.21
1565890764.533,13.61,2.29
1565890770.533,889.32,876.09
1565890787.333,455.9,458.18
1565890792.1330001,13.65,2.32
1565890798.1330001,889.36,876.04
1565890813.733,456.03,458.24
1565890818.533,13.62,2.38
1565890824.533,889.33,876.17
1565890840.1330001,455.92,458.29
1565890844.933,13.62,2.18
1565890850.933,889.34,875.95
1565890867.733,455.94,458.18
1565890872.533,13.54,2.39
1565890878.533,889.27,876.17
1565890894.1330001,455.94,458.21
1565890898.933,13.69,2.51
1565890904.933,889.45,876.14
1565890920.533,455.92,458.19
1565890925.333,13.65,2.29
1565890931.333,889.49,876.15
1565890948.1330001,455.97,458.24
1565890952.933,13.58,2.36
1565890958.933,889.32,876.3
1565890974.533,455.99,458.2
1565890979.333,13.6,2.53
1565890985.333,889.39,876.5
1565891000.933,455.82,458.15
1565891005.733,13.56,2.27
1565891011.733,889.32,876.15
1565891028.533,455.99,458.17
1565891032.1330001,13.57,2.15
1565891038.1330001,889.34,876.05
1565891054.933,455.94,458.23
1565891059.733,13.57,2.43
1565891065.733,889.25,876.36
1565891081.333,455.96,458.22
1565891086.1330001,13.55,2.46
1565891092.1330001,889.2,876.41
1565891108.933,455.89,458.21
1565891112.533,13.49,2.29
1565891118.533,889.2,876.3
1565891135.333,455.9,458.18
1565891140.1330001,13.56,2.18
1565891146.1330001,889.33,876.17
1565891161.733,455.92,458.26
1565891166.533,13.64,2.62
1565891172.533,889.4,876.61
1565891188.1330001,455.91,458.21
1565891192.933,13.62,2.44
1565891198.933,889.36,876.34
1565891215.733,455.88,458.18
1565891220.533,13.62,2.46
1565891226.533,889.4,876.51
1565891242.1330001,455.9,458.2
1565891246.933,13.6,2.64
1565891252.933,889.38,876.59
1565891268.533,455.97,458.24
1565891273.333,13.62,2.21
1565891279.333,889.46,876.23
1565891296.1330001,455.91,458.21
1565891300.933,13.63,2.7
1565891306.933,889.45,876.46
1565891322.533,455.98,458.21
1565891327.333,13.62,2.43
1565891333.333,889.38,876.1
1565891348.933,455.89,458.22
1565891353.733,13.65,2.42
1565891359.733,889.38,876.13
1565891376.533,455.93,458.24
1565891380.1330001,13.66,2.52
1565891386.1330001,889.52,876.26
1565891402.933,456.02,458.25
1565891407.733,13.64,2.36
1565891413.733,889.52,876.09
1565891429.333,455.91,458.2
1565891434.1330001,13.7,2.38
1565891440.1330001,889.61,876.16
1565891456.933,455.87,458.17
1565891460.533,13.65,2.4
1565891466.533,889.51,876.23
1565891483.333,455.87,458.18
1565891488.1330001,13.72,2.41
1565891494.1330001,889.49,876.16
1565891509.733,455.94,458.24
1565891514.533,13.68,2.28
1565891520.533,889.55,876.13
1565891537.333,455.98,458.24
1565891540.933,13.71,2.32
1565891546.933,889.46,876.03
1565891563.733,455.93,458.24
